LMS_Login_Frequency_Per_Week,Assignment_Delay_Days,Attendance_Rate_Percentage,Study_Consistency_Index,Feedback_Sentiment_Score,CAT_Marks_Trend,Late_Night_Activity_Ratio,Burnout_Risk_Level
5.0,2,76.98,0.68,0.68,13.26,0.79,Low
8.0,2,66.27,0.87,0.3,11.31,0.84,Low
0.0,1,77.06,0.43,-0.19,-8.74,0.55,Medium
7.0,2,81.5,0.41,-0.97,-0.12,0.55,Low
5.0,2,60.9,0.76,0.18,-4.57,0.63,Low
4.0,2,77.76,0.58,-0.97,-3.0,0.44,Low
5.0,2,91.25,0.07,-1.0,-4.18,0.68,Low
1.0,2,87.2,0.89,0.23,9.79,0.11,Low
5.0,1,85.41,0.03,-0.62,-1.44,0.96,Low
6.0,1,96.38,0.75,-0.62,0.71,0.75,Low
8.0,5,60.72,0.76,0.31,14.47,0.63,Medium
4.0,3,82.28,0.95,-0.89,-13.2,0.32,Medium
3.0,3,91.49,0.05,-0.37,-0.36,0.16,Low
4.0,1,81.65,0.6,-0.7,8.22,0.41,Low
7.0,2,72.96,0.43,0.16,-10.47,0.66,Low
6.0,7,65.45,0.33,0.32,3.35,0.63,Medium
4.0,2,95.5,0.09,0.44,-7.82,0.38,Low
6.0,2,78.83,0.56,-0.49,11.02,0.61,Low
5.0,3,95.12,0.48,-0.82,-5.19,0.81,Medium
7.0,0,83.43,0.1,-0.84,-5.13,0.03,Medium
4.0,2,86.97,0.61,-0.15,2.95,0.45,Low
4.0,2,92.17,0.74,0.89,-9.49,0.76,Low
4.0,2,86.37,0.77,-0.56,-6.45,0.55,Medium
2.0,1,75.92,0.91,-0.49,-2.5,0.65,Low
6.0,2,80.55,0.41,-0.8,-4.39,0.52,Low
6.0,1,92.12,0.95,0.21,0.75,0.99,Low
5.0,2,74.95,0.87,0.36,2.99,0.05,Low
5.0,2,75.52,0.3,0.29,2.0,0.49,Low
2.0,5,63.83,0.16,0.72,4.63,0.09,Medium
4.0,2,96.58,0.44,-0.03,-5.77,0.16,Low
4.0,2,63.64,0.4,-0.73,-11.21,0.38,High
3.0,1,85.93,0.58,-0.42,7.82,0.16,Low
5.0,1,76.53,0.58,0.32,10.52,0.96,Low
6.0,0,76.22,0.75,0.23,-7.29,0.95,Low
9.0,0,87.18,0.51,0.06,-2.79,0.34,Low
5.0,2,62.68,0.1,0.37,-0.04,0.64,Low
6.0,4,83.75,0.86,0.27,1.0,0.53,Low
5.0,2,90.88,0.31,0.76,4.78,0.82,Low
1.0,5,93.13,0.97,0.17,-13.75,0.63,High
5.0,1,66.82,0.12,0.56,6.64,0.0,Low
5.0,1,95.9,0.96,-0.5,-13.14,0.76,Medium
10.0,2,86.25,0.09,0.36,-0.95,0.75,Low
5.0,0,95.27,0.23,0.8,9.83,0.51,Low
6.0,0,79.41,0.05,-0.23,-1.46,0.9,Low
5.0,4,81.68,0.71,0.56,-10.53,0.91,Low
3.0,3,96.76,0.85,0.45,14.55,0.52,Low
7.0,1,96.0,0.43,-0.88,11.68,0.61,Low
7.0,2,77.93,0.93,0.16,8.14,1.0,Low
7.0,0,70.98,0.59,-0.74,-2.65,0.3,Low
3.0,0,75.73,0.63,0.93,-9.48,0.32,Low
8.0,1,75.51,0.85,0.62,13.24,0.18,Low
2.0,2,71.47,0.3,-0.78,0.97,0.9,Low
6.0,2,70.74,0.35,-0.76,10.57,0.74,Low
9.0,1,94.44,0.91,0.19,-4.74,0.11,Low
3.0,0,62.79,0.9,-0.31,-4.94,0.98,Medium
4.0,3,87.1,0.98,-0.93,14.57,0.73,Low
5.0,3,66.91,0.9,0.08,0.65,0.85,Low
4.0,3,73.78,0.13,-0.22,-10.78,0.05,Low
2.0,5,62.46,0.82,-0.8,-8.41,0.5,High
5.0,2,70.8,0.41,0.6,-0.54,0.7,Low
3.0,2,90.74,0.99,0.83,-13.73,0.54,Low
6.0,3,95.4,0.47,0.51,-1.12,0.67,Low
3.0,2,68.86,0.55,0.64,-2.43,0.82,Low
8.0,2,78.54,0.53,-0.57,8.38,0.37,Low
3.0,2,78.81,0.32,-0.47,-4.35,0.85,Low
4.0,6,94.94,0.08,-0.58,14.48,0.16,Medium
7.0,4,90.51,0.9,0.53,-9.58,0.27,Low
3.0,1,80.52,0.8,0.9,2.73,0.04,Low
5.0,6,86.83,0.14,0.43,-12.31,0.36,Medium
8.0,1,93.89,0.78,0.76,7.02,0.38,Low
2.0,3,60.38,0.63,0.28,14.84,0.81,Low
5.0,1,76.12,0.41,-0.22,9.57,0.65,Low
6.0,3,96.29,0.25,-0.15,1.67,0.44,Low
7.0,4,89.61,0.86,-0.85,-0.46,0.65,Low
3.0,3,81.71,0.7,-0.94,10.05,0.05,Low
2.0,3,81.19,0.55,0.39,13.08,0.18,Low
6.0,2,73.91,0.61,-0.12,14.68,0.63,Low
6.0,4,80.82,0.09,0.1,-3.1,0.64,Low
6.0,4,86.22,0.47,0.12,14.73,0.77,Low
6.0,1,76.73,0.19,-0.45,-10.32,0.4,Medium
4.0,2,88.57,0.21,-0.05,-7.39,0.72,Low
5.0,2,94.45,0.66,-0.06,-12.33,0.68,Low
6.0,2,66.19,0.91,-0.22,-6.85,0.96,Medium
4.0,2,78.06,0.4,0.64,8.04,0.22,Low
9.0,2,76.32,0.21,-0.1,10.59,0.55,Low
6.0,4,87.5,0.65,0.21,8.37,0.6,Low
3.0,1,69.99,0.87,0.79,3.93,1.0,Low
6.0,1,85.61,0.75,0.73,0.42,0.2,Low
3.0,1,95.1,0.87,0.78,6.26,0.52,Low
7.0,2,76.73,0.54,-0.46,-3.27,0.35,Low
7.0,1,96.44,0.75,-0.93,10.24,0.53,Low
3.0,1,99.73,0.14,-0.48,5.32,0.23,Low
7.0,3,64.24,0.35,-0.44,5.93,0.05,Medium
6.0,2,69.32,0.39,0.82,1.08,0.57,Low
7.0,1,98.02,0.51,0.3,11.56,0.34,Low
9.0,1,98.33,0.93,-0.84,-7.44,0.18,Medium
5.0,3,63.91,0.87,-0.73,-3.57,0.32,Medium
3.0,0,60.6,0.13,-0.69,8.33,0.05,Medium
3.0,2,66.44,0.17,0.26,-0.22,0.95,Low
3.0,3,99.84,0.36,0.47,11.68,0.58,Low
5.0,0,67.2,0.29,0.72,-4.61,0.81,Low
6.0,3,80.1,0.61,0.88,-3.92,0.42,Low
6.0,2,93.94,0.9,-0.6,11.66,0.9,Low
7.0,3,60.82,0.96,-0.38,-1.07,0.48,Medium
5.0,2,84.18,0.65,-0.52,0.48,0.57,Low
8.0,2,71.08,0.84,-0.28,-5.02,0.49,Low
4.0,3,94.49,0.53,0.83,-6.7,0.73,Low
10.0,2,71.34,0.21,0.15,4.68,0.57,Low
6.0,3,87.47,0.52,0.48,-11.4,0.27,Low
3.0,2,86.97,0.56,-0.02,11.38,0.15,Low
3.0,0,68.86,0.74,-0.94,8.38,0.61,Medium
6.0,1,61.39,0.22,-0.87,-9.28,0.49,High
5.0,3,76.37,0.37,0.08,5.82,0.1,Low
6.0,2,71.57,0.36,0.44,3.08,0.4,Low
6.0,3,92.36,0.96,-0.57,-9.46,0.51,Medium
5.0,1,92.01,0.44,0.44,-6.8,0.83,Low
3.0,2,78.28,0.76,0.62,-2.73,0.08,Low
2.0,0,84.26,0.75,-0.18,5.98,0.35,Low
4.0,1,84.17,0.27,0.49,4.16,0.82,Low
7.0,1,93.09,0.57,-0.19,0.97,0.65,Low
5.0,0,77.0,0.89,0.36,8.05,0.29,Low
3.0,4,71.02,0.48,0.53,7.74,0.85,Low
5.0,6,70.6,0.95,0.98,3.54,0.49,Low
6.0,4,81.45,0.21,-0.31,8.61,0.5,Low
3.0,3,77.97,0.07,-0.18,-4.97,0.98,Low
5.0,1,77.6,0.89,-0.67,11.44,0.95,Low
5.0,4,63.65,0.85,-0.59,3.45,0.36,Medium
3.0,2,88.74,0.99,0.39,9.67,0.14,Low
6.0,3,68.55,0.68,0.83,1.39,0.33,Low
6.0,2,67.88,0.94,-0.21,-8.45,0.03,Medium
7.0,0,76.51,0.83,-0.64,1.27,0.02,Low
7.0,2,69.11,0.84,-0.43,-3.87,0.4,Medium
2.0,2,83.35,0.57,-0.09,5.92,0.94,Low
3.0,3,74.86,0.38,-0.42,-0.73,0.87,Low
6.0,1,77.96,0.93,-0.53,10.08,0.51,Low
6.0,0,81.49,0.43,0.47,5.34,0.57,Low
6.0,1,68.14,0.54,-0.98,5.54,0.01,Medium
12.0,3,66.23,0.45,0.08,-8.49,0.22,Medium
6.0,1,95.22,0.56,0.59,14.53,0.02,Low
7.0,1,77.35,0.47,-0.47,10.25,0.75,Low
7.0,2,76.48,0.05,0.21,8.67,0.15,Low
6.0,5,61.42,0.88,0.34,-5.09,0.87,High
4.0,4,79.92,0.44,0.31,1.07,0.64,Low
7.0,2,82.17,0.59,-0.11,-10.89,0.23,Low
3.0,2,82.35,0.14,-0.31,1.15,0.16,Low
5.0,5,88.28,0.0,0.67,-10.62,0.63,Medium
4.0,1,67.1,0.25,0.52,1.59,0.9,Low
5.0,2,70.09,0.7,-0.36,4.46,0.72,Low
10.0,1,92.43,0.1,-0.79,-3.29,0.35,Low
1.0,3,97.89,0.91,-0.86,-0.04,0.59,Medium
6.0,0,65.44,0.22,-0.81,11.27,0.31,Medium
2.0,0,79.91,0.2,0.17,-11.74,1.0,Low
4.0,2,68.57,0.18,-0.9,8.75,0.75,Medium
7.0,1,62.4,0.01,-0.33,-9.88,0.61,High
5.0,1,73.02,0.77,0.51,-13.9,0.42,Low
3.0,2,65.75,0.88,-0.41,-9.43,0.62,High
4.0,1,88.4,0.61,0.53,7.95,0.34,Low
6.0,2,81.35,0.19,0.49,-2.85,0.03,Low
4.0,2,65.75,0.29,-0.51,11.18,0.4,Medium
5.0,3,60.37,0.48,0.46,0.74,0.93,Low
5.0,3,92.33,0.95,0.5,-14.33,0.63,Low
4.0,1,67.05,0.25,-0.21,6.5,0.08,Low
9.0,1,84.25,0.73,-0.58,-11.69,0.88,Medium
6.0,1,73.48,0.44,0.04,8.68,0.27,Low
1.0,2,83.42,0.3,0.84,-9.96,0.24,Medium
5.0,2,72.63,0.46,0.28,-4.64,0.3,Low
4.0,1,63.48,0.07,-0.65,7.84,0.58,Medium
7.0,1,68.92,0.8,0.37,13.63,0.54,Low
3.0,3,67.52,0.24,-0.15,-3.86,0.49,Low
5.0,1,77.12,0.73,0.18,9.88,0.72,Low
6.0,5,86.33,0.07,0.47,-9.28,0.32,Medium
7.0,2,70.55,0.96,0.03,9.22,0.78,Low
3.0,3,60.48,0.19,0.63,4.72,0.18,Low
4.0,0,80.76,0.88,0.44,-9.22,0.78,Low
4.0,3,84.23,0.81,0.23,-5.92,0.66,Low
4.0,0,98.51,0.97,-0.7,-11.05,0.68,Medium
9.0,4,83.58,0.48,0.67,-3.51,0.48,Low
6.0,1,78.85,0.73,0.87,-8.89,0.67,Low
2.0,2,82.94,0.37,-0.73,4.32,0.08,Low
7.0,3,97.12,0.18,-0.02,14.84,0.85,Low
9.0,1,93.14,0.44,-0.48,-14.64,0.06,Medium
7.0,0,72.92,0.17,0.51,1.23,0.15,Low
2.0,2,69.49,0.98,0.44,2.21,0.58,Low
4.0,2,70.51,0.1,-0.72,12.43,0.74,Low
8.0,2,80.18,0.59,0.75,0.18,0.08,Low
4.0,0,89.76,0.63,-0.64,1.31,0.92,Low
6.0,3,80.13,0.54,0.59,-0.85,0.97,Low
7.0,5,62.71,0.66,-0.09,-6.93,0.61,High
3.0,1,88.94,0.12,-0.34,-13.32,0.48,Medium
5.0,2,92.24,0.56,-0.68,-2.74,0.74,Low
0.0,2,71.58,0.29,-0.66,-13.42,0.33,High
3.0,6,86.57,0.94,0.32,1.51,0.49,Low
4.0,1,77.06,0.76,0.1,-5.78,0.92,Low
3.0,2,95.56,0.97,-0.76,1.01,0.96,Low
8.0,1,93.81,0.04,-0.77,-10.97,0.93,Medium
2.0,1,81.02,0.29,-0.86,12.98,0.26,Low
4.0,2,87.66,0.2,0.49,11.84,0.23,Low
5.0,0,95.33,0.01,0.42,-9.3,0.3,Low
8.0,4,79.83,0.24,-0.88,-4.7,0.44,Low
2.0,2,72.53,0.68,0.12,3.4,0.31,Low
7.0,3,90.15,0.23,-0.83,-12.13,0.37,Medium
5.0,1,68.8,0.51,0.81,-4.36,0.62,Low
3.0,1,75.54,0.89,0.81,-7.47,0.76,Low
6.0,3,94.63,0.69,0.4,12.47,0.74,Low
5.0,2,88.98,0.39,0.85,10.58,0.81,Low
4.0,2,76.15,0.37,0.62,2.39,0.03,Low
5.0,0,68.59,0.46,0.66,0.61,0.05,Low
4.0,1,74.24,0.18,0.14,12.92,0.79,Low
5.0,2,71.36,0.63,-0.39,12.97,0.53,Low
6.0,0,67.04,0.36,-0.56,14.08,0.58,Medium
8.0,4,89.73,0.85,-0.35,-11.24,0.05,Medium
3.0,5,70.08,0.76,0.26,-10.18,0.26,Medium
9.0,0,78.17,0.61,-0.65,5.3,0.64,Low
1.0,0,75.43,0.36,-0.48,1.24,0.86,Medium
5.0,6,99.28,0.21,-0.06,-14.45,0.92,Medium
6.0,0,75.64,0.78,-0.53,-13.14,0.5,Medium
6.0,1,63.2,0.49,0.18,11.64,0.55,Low
4.0,0,63.59,0.22,0.85,11.07,0.83,Low
5.0,3,83.63,0.2,0.5,-4.28,0.54,Low
4.0,2,83.97,0.17,0.33,11.73,0.52,Low
4.0,3,76.75,0.78,0.17,2.81,0.91,Low
7.0,5,77.27,0.23,-0.02,9.18,0.79,Low
6.0,5,62.16,0.53,-0.63,-2.18,0.91,High
4.0,2,80.66,0.45,0.79,-11.6,0.22,Low
7.0,3,80.19,0.58,-0.5,-1.99,0.52,Low
6.0,6,65.98,0.88,-0.82,-1.28,0.84,High
7.0,3,64.15,0.87,0.5,1.53,0.11,Low
6.0,2,64.94,0.45,-0.65,-11.83,0.79,High
3.0,3,64.04,0.02,-0.26,14.74,0.18,Low
4.0,1,84.39,0.43,-0.94,-7.68,0.81,Medium
6.0,1,67.86,0.61,-0.73,-9.04,0.61,High
6.0,4,70.06,0.56,-0.65,0.8,0.19,Low
5.0,0,66.94,0.65,-0.89,1.12,0.47,Medium
5.0,6,98.31,0.15,0.31,-1.81,0.68,Low
8.0,2,94.18,0.65,0.67,8.16,0.63,Low
4.0,3,69.22,0.18,-0.25,0.5,0.43,Low
6.0,2,73.1,0.75,0.75,3.29,0.9,Low
5.0,0,68.4,0.34,-0.57,6.71,0.52,Medium
5.0,1,79.68,0.71,-0.35,-14.25,0.51,Medium
7.0,4,60.78,0.05,-0.7,2.12,0.06,Medium
7.0,3,86.85,0.41,0.24,11.53,0.92,Low
7.0,3,80.93,0.71,-0.16,-14.48,0.18,Low
8.0,5,95.95,0.23,0.23,-2.84,0.53,Low
5.0,1,66.58,0.8,0.52,12.79,0.8,Low
6.0,4,92.16,0.63,0.09,-4.41,0.22,Low
4.0,1,91.68,0.59,0.26,-1.24,0.53,Low
6.0,1,65.09,0.35,0.87,14.45,0.24,Low
5.0,1,75.94,0.48,-0.4,-9.02,0.76,Medium
5.0,0,66.81,0.6,-0.28,-13.04,0.56,Medium
6.0,1,70.19,0.47,0.44,10.78,0.86,Low
3.0,4,70.53,0.7,0.22,11.05,0.89,Low
9.0,2,82.25,0.43,-0.64,-0.84,0.65,Low
3.0,1,76.46,0.2,-0.25,0.43,0.73,Low
3.0,1,97.91,0.21,-0.06,10.07,0.55,Low
7.0,1,65.05,0.01,-0.16,7.16,0.38,Low
7.0,2,98.95,0.3,-0.64,-7.05,0.65,Medium
6.0,2,69.23,0.75,0.85,-14.49,0.91,Medium
6.0,0,90.91,0.79,0.52,-0.61,0.42,Low
5.0,2,73.56,0.2,-0.04,10.77,0.31,Low
3.0,1,65.72,0.96,0.36,11.88,0.39,Low
5.0,2,94.32,0.5,0.79,13.69,0.44,Low
4.0,2,72.35,0.92,-0.73,11.39,0.07,Low
7.0,0,86.35,0.71,-0.5,2.4,0.5,Low
5.0,2,82.66,0.72,0.09,-1.66,0.49,Low
3.0,0,78.87,0.09,0.6,8.25,0.59,Low
4.0,3,79.83,0.22,-0.93,7.19,0.36,Low
6.0,4,89.29,0.01,0.97,1.14,0.61,Low
4.0,4,63.51,0.72,-0.09,-12.38,0.88,Medium
3.0,3,86.73,0.34,-0.28,12.78,0.96,Low
5.0,3,95.83,0.79,-0.41,-1.33,0.58,Low
5.0,2,62.31,0.34,-0.65,-4.1,0.04,Medium
4.0,0,65.63,0.82,0.58,3.89,0.97,Low
4.0,2,88.67,0.13,0.91,5.22,0.71,Low
5.0,3,77.49,0.17,-0.17,-8.68,0.34,Low
2.0,1,76.14,0.34,0.9,10.11,0.15,Low
2.0,2,65.48,0.41,0.65,-6.3,0.14,Medium
4.0,1,80.27,0.35,-0.04,-9.4,0.17,Low
5.0,1,65.06,0.76,0.35,-2.81,0.05,Low
6.0,2,79.06,0.1,-0.13,6.92,0.9,Low
8.0,3,90.54,0.35,0.12,13.96,0.54,Low
7.0,2,70.33,0.84,-0.88,9.28,0.7,Low
5.0,0,79.23,0.07,0.39,13.21,0.83,Low
5.0,3,99.68,0.94,-0.89,-10.78,0.79,Medium
3.0,2,87.47,0.99,0.63,-12.86,0.88,Low
5.0,2,93.65,0.09,0.65,1.73,0.97,Low
4.0,0,76.59,0.29,-0.53,-6.29,0.44,Medium
6.0,4,90.71,0.37,-0.35,9.84,0.95,Low
3.0,2,61.62,0.78,-0.04,5.16,0.72,Low
6.0,2,64.92,0.6,0.19,14.12,0.07,Low
8.0,1,68.12,0.64,-0.43,-7.36,0.68,High
5.0,2,76.08,0.76,0.18,-0.43,0.69,Low
6.0,2,93.83,0.12,-0.4,0.04,0.91,Low
6.0,2,73.85,0.83,-0.89,-7.82,0.37,Medium
4.0,4,86.18,0.71,-0.99,2.7,0.58,Low
5.0,0,88.37,0.58,-0.8,-1.7,0.01,Low
5.0,1,83.45,0.89,0.58,-1.6,0.33,Low
5.0,4,74.29,0.7,0.92,-4.12,0.06,Low
3.0,0,83.08,0.2,-0.15,-14.49,0.52,Low
5.0,0,73.69,0.43,0.03,0.66,0.82,Low
6.0,3,63.35,0.49,-0.71,-4.94,0.21,Medium
8.0,0,99.71,0.06,0.1,-14.96,0.53,Low
7.0,1,65.09,0.95,-0.71,-5.76,0.2,High
9.0,0,62.89,0.13,0.22,-6.64,0.12,Medium
3.0,1,95.14,0.7,0.87,-3.2,0.51,Low
7.0,2,72.07,0.51,-0.61,-11.04,0.08,Medium
5.0,2,86.01,0.03,0.53,0.23,0.59,Low
9.0,1,73.16,0.92,-0.95,5.77,0.03,Low
3.0,2,75.66,0.85,-0.25,3.91,0.11,Low
3.0,3,70.48,0.52,-0.78,9.11,0.55,Low
4.0,0,73.72,0.23,-0.3,-1.44,0.59,Low
1.0,3,76.43,0.12,-0.65,0.57,0.03,Medium
4.0,1,88.82,0.36,-0.25,9.31,0.57,Low
3.0,4,80.46,0.26,-0.16,-2.17,0.84,Low
5.0,5,97.74,0.51,-0.4,6.05,0.72,Medium
6.0,1,61.68,0.97,0.31,-1.96,0.13,Low
9.0,1,80.12,0.57,0.84,-2.47,0.59,Low
7.0,4,83.37,0.89,-0.2,7.81,0.67,Low
4.0,1,96.81,0.65,-0.62,-9.75,0.04,Medium
3.0,1,61.97,0.48,-0.46,-4.84,0.86,Medium
6.0,3,82.94,0.85,0.71,-8.27,0.91,Low
2.0,2,94.15,0.47,0.14,-4.23,0.85,Low
9.0,0,69.68,0.87,-0.09,-8.09,0.82,Medium
7.0,1,95.05,0.29,-0.7,2.38,0.74,Low
4.0,2,60.76,0.13,-0.1,8.95,0.63,Low
2.0,1,89.3,0.86,-0.44,8.6,0.68,Low
8.0,4,97.32,0.59,0.89,-4.06,0.81,Low
5.0,3,86.29,0.89,0.77,14.66,0.66,Low
7.0,0,77.56,0.94,-0.83,2.82,0.33,Low
2.0,2,61.8,0.05,0.03,-3.02,0.38,Low
4.0,4,96.8,0.5,-0.55,10.07,0.9,Low
5.0,2,78.81,0.37,-0.18,6.9,0.02,Low
5.0,1,61.16,0.63,0.75,7.48,0.7,Low
4.0,2,87.59,0.79,0.06,-9.12,0.95,Low
6.0,2,79.27,0.28,-0.33,-0.95,0.71,Low
3.0,2,64.97,0.56,-0.58,10.85,0.99,Medium
5.0,1,68.57,0.71,0.6,0.12,0.69,Low
5.0,0,62.58,0.13,0.25,5.5,0.03,Low
6.0,3,82.97,0.81,-0.06,2.64,0.83,Low
6.0,6,84.88,0.61,-0.57,10.27,0.28,Medium
3.0,1,80.23,0.95,-0.33,-6.46,0.45,Medium
2.0,2,92.68,0.34,0.92,2.26,0.31,Low
8.0,2,94.44,0.11,0.04,-11.3,0.27,Low
6.0,2,84.62,0.51,-0.2,5.71,0.43,Low
4.0,2,60.51,0.09,0.04,6.96,0.38,Low
8.0,2,87.81,0.97,0.56,-13.71,0.63,Low
5.0,1,76.72,0.04,-0.32,5.27,0.81,Low
7.0,4,82.62,0.75,-0.64,-2.56,0.3,Low
5.0,3,85.96,0.53,0.17,-11.28,0.21,Low
9.0,0,74.01,0.37,0.33,-2.4,0.67,Low
9.0,2,96.68,0.07,0.43,-9.17,0.67,Low
5.0,2,65.36,0.62,0.76,-2.53,0.9,Low
7.0,3,86.86,0.59,-0.26,-3.47,0.02,Low
6.0,1,60.17,0.28,-0.85,7.15,0.85,Medium
8.0,2,96.99,0.91,0.92,8.23,0.52,Low
3.0,0,64.5,0.3,-0.13,3.21,0.62,Low
6.0,3,63.8,0.45,0.25,-14.32,0.09,Medium
7.0,3,73.32,0.54,0.33,12.93,0.43,Low
1.0,2,74.94,0.1,0.09,5.59,0.23,Low
3.0,0,68.57,0.93,-0.59,-13.97,0.25,High
1.0,3,83.4,0.37,0.51,9.56,0.5,Low
4.0,2,77.72,0.08,0.61,-8.99,0.81,Low
6.0,4,61.37,0.39,0.11,2.38,0.74,Low
8.0,1,72.79,0.6,-0.02,-1.0,0.59,Low
5.0,3,92.42,0.51,-0.77,-2.4,0.54,Low
8.0,2,87.59,0.69,-0.83,11.69,0.43,Low
2.0,4,88.99,0.06,-0.32,-1.88,0.97,Low
2.0,0,87.92,0.28,-0.38,-12.74,0.56,Medium
5.0,2,72.44,0.82,0.91,13.4,0.25,Low
6.0,1,63.99,0.08,0.57,12.62,0.23,Low
5.0,1,70.9,0.86,0.32,5.53,0.61,Low
1.0,1,93.27,0.09,0.04,-0.96,0.52,Low
5.0,0,99.22,0.83,-0.67,-12.21,0.01,Medium
2.0,1,79.75,0.36,0.96,8.72,0.83,Low
6.0,2,60.39,0.61,-0.25,-12.74,0.7,Medium
6.0,3,65.6,0.15,-0.79,-12.94,0.66,High
3.0,5,72.88,0.07,-0.01,1.12,0.07,Low
4.0,3,83.14,0.22,0.75,-10.2,0.36,Low
3.0,2,63.0,0.13,0.77,-14.77,0.94,Medium
5.0,4,97.73,0.31,-0.98,-2.31,0.86,Low
7.0,3,74.6,0.51,0.77,-10.88,0.29,Low
3.0,2,96.5,0.59,-0.46,-10.18,0.16,Medium
6.0,1,91.22,0.79,-0.92,-12.69,0.45,Medium
4.0,1,90.22,0.66,0.7,-8.85,0.36,Low
3.0,4,84.27,0.61,0.73,6.46,0.68,Low
